x,y,z,Bx,By,By,Bp,faceid
-26.159,0.707000000000033,-32.9,50,0,0,-366,3
-26.159,1.41400000000003,-32.9,50,0,0,-366,3
-26.159,2.12100000000003,-32.9,50,0,0,-366,3
-26.159,2.82800000000003,-32.9,50,0,0,-366,3
-26.159,3.53500000000004,-32.9,50,0,0,-366,3
-26.159,4.24200000000004,-32.9,50,0,0,-366,3
-26.159,4.94900000000004,-32.9,50,0,0,-366,3
-26.159,5.65600000000004,-32.9,50,0,0,-366,3
-26.159,6.36300000000004,-32.9,50,0,0,-366,3
-26.159,7.07000000000004,-32.9,50,0,0,-366,3
-26.159,7.77700000000004,-32.9,50,0,0,-366,3
-26.159,8.48400000000004,-32.9,50,0,0,-366,3
-26.159,9.19100000000004,-32.9,50,0,0,-366,3
-26.159,9.89800000000004,-32.9,50,0,0,-366,3
-26.159,10.605,-32.9,50,0,0,-366,3
-26.159,11.312,-32.9,50,0,0,-366,3
-26.159,12.019,-32.9,50,0,0,-366,3
-26.159,12.726,-32.9,50,0,0,-366,3
-26.159,13.433,-32.9,50,0,0,-366,3
-26.159,14.14,-32.9,50,0,0,-366,3
-26.159,14.847,-32.9,50,0,0,-366,3
-26.159,15.554,-32.9,50,0,0,-366,3
-26.159,16.2610000000001,-32.9,50,0,0,-366,3
-26.159,16.9680000000001,-32.9,50,0,0,-366,3
-26.159,17.6750000000001,-32.9,50,0,0,-366,3
-26.159,18.3820000000001,-32.9,50,0,0,-366,3
-25.452,-19.089,-32.9,50,0,0,-366,3
-25.452,-18.382,-32.9,50,0,0,-366,3
-25.452,-17.675,-32.9,50,0,0,-366,3
-25.452,-16.968,-32.9,50,0,0,-366,3
-25.452,-16.261,-32.9,50,0,0,-366,3
-25.452,-15.554,-32.9,50,0,0,-366,3
-25.452,-14.847,-32.9,50,0,0,-366,3
-25.452,-14.14,-32.9,50,0,0,-366,3
-25.452,-13.433,-32.9,50,0,0,-366,3
-25.452,-12.726,-32.9,50,0,0,-366,3
-25.452,-12.019,-32.9,50,0,0,-366,3
-25.452,-11.312,-32.9,50,0,0,-366,3
-25.452,-10.605,-32.9,50,0,0,-366,3
-25.452,-9.89799999999998,-32.9,50,0,0,-366,3
-25.452,-9.19099999999998,-32.9,50,0,0,-366,3
-25.452,-8.48399999999998,-32.9,50,0,0,-366,3
-25.452,-7.77699999999998,-32.9,50,0,0,-366,3
-25.452,-7.06999999999998,-32.9,50,0,0,-366,3
-25.452,-6.36299999999998,-32.9,50,0,0,-366,3
-25.452,-5.65599999999997,-32.9,50,0,0,-366,3
-25.452,-4.94899999999997,-32.9,50,0,0,-366,3
-25.452,-4.24199999999997,-32.9,50,0,0,-366,3
-25.452,-3.53499999999997,-32.9,50,0,0,-366,3
-25.452,-2.82799999999997,-32.9,50,0,0,-366,3
-25.452,-2.12099999999997,-32.9,50,0,0,-366,3
-25.452,-1.41399999999997,-32.9,50,0,0,-366,3
-25.452,-0.706999999999969,-32.9,50,0,0,-366,3
-25.452,3.19744231092045E-14,-32.9,50,0,0,-366,3
-25.452,0.707000000000033,-32.9,50,0,0,-366,3
-25.452,1.41400000000003,-32.9,50,0,0,-366,3
-25.452,2.12100000000003,-32.9,50,0,0,-366,3
-25.452,2.82800000000003,-32.9,50,0,0,-366,3
-25.452,3.53500000000004,-32.9,50,0,0,-366,3
-25.452,4.24200000000004,-32.9,50,0,0,-366,3
-25.452,4.94900000000004,-32.9,50,0,0,-366,3
-25.452,5.65600000000004,-32.9,50,0,0,-366,3
-25.452,6.36300000000004,-32.9,50,0,0,-366,3
-25.452,7.07000000000004,-32.9,50,0,0,-366,3
-25.452,7.77700000000004,-32.9,50,0,0,-366,3
-25.452,8.48400000000004,-32.9,50,0,0,-366,3
-25.452,9.19100000000004,-32.9,50,0,0,-366,3
-25.452,9.89800000000004,-32.9,50,0,0,-366,3
-25.452,10.605,-32.9,50,0,0,-366,3
-25.452,11.312,-32.9,50,0,0,-366,3
-25.452,12.019,-32.9,50,0,0,-366,3
-25.452,12.726,-32.9,50,0,0,-366,3
-25.452,13.433,-32.9,50,0,0,-366,3
-25.452,14.14,-32.9,50,0,0,-366,3
-25.452,14.847,-32.9,50,0,0,-366,3
-25.452,15.554,-32.9,50,0,0,-366,3
-25.452,16.2610000000001,-32.9,50,0,0,-366,3
-25.452,16.9680000000001,-32.9,50,0,0,-366,3
-25.452,17.6750000000001,-32.9,50,0,0,-366,3
-25.452,18.3820000000001,-32.9,50,0,0,-366,3
-25.452,19.0890000000001,-32.9,50,0,0,-366,3
-24.745,-19.796,-32.9,50,0,0,-366,3
-24.745,-19.089,-32.9,50,0,0,-366,3
-24.745,-18.382,-32.9,50,0,0,-366,3
-24.745,-17.675,-32.9,50,0,0,-366,3
-24.745,-16.968,-32.9,50,0,0,-366,3
-24.745,-16.261,-32.9,50,0,0,-366,3
-24.745,-15.554,-32.9,50,0,0,-366,3
-24.745,-14.847,-32.9,50,0,0,-366,3
-24.745,-14.14,-32.9,50,0,0,-366,3
-24.745,-13.433,-32.9,50,0,0,-366,3
-24.745,-12.726,-32.9,50,0,0,-366,3
-24.745,-12.019,-32.9,50,0,0,-366,3
-24.745,-11.312,-32.9,50,0,0,-366,3
-24.745,-10.605,-32.9,50,0,0,-366,3
-24.745,-9.89799999999998,-32.9,50,0,0,-366,3
-24.745,-9.19099999999998,-32.9,50,0,0,-366,3
-24.745,-8.48399999999998,-32.9,50,0,0,-366,3
-24.745,-7.77699999999998,-32.9,50,0,0,-366,3
-24.745,-7.06999999999998,-32.9,50,0,0,-366,3
-24.745,-6.36299999999998,-32.9,50,0,0,-366,3
-24.745,-5.65599999999997,-32.9,50,0,0,-366,3
-24.745,-4.94899999999997,-32.9,50,0,0,-366,3
-24.745,-4.24199999999997,-32.9,50,0,0,-366,3
-24.745,-3.53499999999997,-32.9,50,0,0,-366,3
-24.745,-2.82799999999997,-32.9,50,0,0,-366,3
-24.745,-2.12099999999997,-32.9,50,0,0,-366,3
-24.745,-1.41399999999997,-32.9,50,0,0,-366,3
-24.745,-0.706999999999969,-32.9,50,0,0,-366,3
-24.745,3.19744231092045E-14,-32.9,50,0,0,-366,3
-24.745,0.707000000000033,-32.9,50,0,0,-366,3
-24.745,1.41400000000003,-32.9,50,0,0,-366,3
-24.745,2.12100000000003,-32.9,50,0,0,-366,3
-24.745,2.82800000000003,-32.9,50,0,0,-366,3
-24.745,3.53500000000004,-32.9,50,0,0,-366,3
-24.745,4.24200000000004,-32.9,50,0,0,-366,3
-24.745,4.94900000000004,-32.9,50,0,0,-366,3
-24.745,5.65600000000004,-32.9,50,0,0,-366,3
-24.745,6.36300000000004,-32.9,50,0,0,-366,3
-24.745,7.07000000000004,-32.9,50,0,0,-366,3
-24.745,7.77700000000004,-32.9,50,0,0,-366,3
-24.745,8.48400000000004,-32.9,50,0,0,-366,3
-24.745,9.19100000000004,-32.9,50,0,0,-366,3
-24.745,9.89800000000004,-32.9,50,0,0,-366,3
-24.745,10.605,-32.9,50,0,0,-366,3
-24.745,11.312,-32.9,50,0,0,-366,3
-24.745,12.019,-32.9,50,0,0,-366,3
